2556 strings generated
Maximum sample length: 23
Maximum input length: 25
Starting CFGTask Experiment
Model Type: VanillaController
Network Type: LinearSimpleStructNetwork
Struct Type: Stack
Learning Rate: 0.01
Batch Size: 10
Read Size: 2

-- Epoch 0 of 99 --

Batch 9: Loss = 5.3791, Accuracy = 44.0%
Batch 19: Loss = 7.1026, Accuracy = 48.6%
Batch 29: Loss = 6.0056, Accuracy = 57.1%
Batch 39: Loss = 5.5067, Accuracy = 51.4%
Batch 49: Loss = 5.1304, Accuracy = 51.4%
Batch 59: Loss = 4.5247, Accuracy = 41.4%
Batch 69: Loss = 4.1972, Accuracy = 30.0%
Batch 79: Loss = 4.9063, Accuracy = 47.2%
Epoch 0 Test: Loss = 4.1153, Accuracy = 47.4%

-- Epoch 1 of 99 --

Batch 9: Loss = 4.7267, Accuracy = 42.9%
Batch 19: Loss = 3.4305, Accuracy = 46.7%
Batch 29: Loss = 3.4873, Accuracy = 51.4%
Batch 39: Loss = 3.3750, Accuracy = 50.0%
Batch 49: Loss = 2.8017, Accuracy = 37.9%
Batch 59: Loss = 3.8088, Accuracy = 39.4%
Batch 69: Loss = 3.4624, Accuracy = 28.6%
Batch 79: Loss = 3.5843, Accuracy = 38.9%
Epoch 1 Test: Loss = 3.2688, Accuracy = 42.0%

-- Epoch 2 of 99 --

Batch 9: Loss = 2.3737, Accuracy = 50.0%
Batch 19: Loss = 3.2748, Accuracy = 47.2%
Batch 29: Loss = 3.7934, Accuracy = 50.0%
Batch 39: Loss = 2.3075, Accuracy = 51.7%
Batch 49: Loss = 3.1145, Accuracy = 42.9%
Batch 59: Loss = 3.3945, Accuracy = 42.9%
Batch 69: Loss = 4.2114, Accuracy = 42.1%
Batch 79: Loss = 3.0026, Accuracy = 55.2%
Epoch 2 Test: Loss = 2.9690, Accuracy = 43.5%

-- Epoch 3 of 99 --

Batch 9: Loss = 3.4913, Accuracy = 38.9%
Batch 19: Loss = 3.4235, Accuracy = 37.8%
Batch 29: Loss = 2.9904, Accuracy = 41.9%
Batch 39: Loss = 2.3357, Accuracy = 44.8%
Batch 49: Loss = 3.8801, Accuracy = 42.5%
Batch 59: Loss = 2.8524, Accuracy = 62.5%
Batch 69: Loss = 3.6508, Accuracy = 34.3%
